index, frame, sample, time, raw[0], cal[0]
168,81,0,3.34544,16079,22.8578
169,83,0,3.36524,16059,22.5016
170,85,0,3.38503,16051,22.3591
171,87,0,3.40483,16080,22.8756
172,89,0,3.42462,16072,22.7332
173,91,0,3.44442,16093,23.1072
174,93,0,3.46421,16068,22.6619
175,95,0,3.48401,16084,22.9469
176,97,0,3.5038,16070,22.6975
177,99,0,3.5236,16051,22.3591
178,101,0,3.54339,16075,22.7866
179,103,0,3.56319,16075,22.7866
180,105,0,3.58299,16077,22.8222
181,107,0,3.60278,16085,22.9647
182,109,0,3.62258,16056,22.4482
183,111,0,3.64237,16053,22.3948
184,113,0,3.66217,16082,22.9113
185,115,0,3.68196,16063,22.5729
186,117,0,3.70176,16045,22.2523
187,119,0,3.72155,16089,23.0359
188,121,0,3.74135,16063,22.5729
189,123,0,3.76115,16076,22.8044
190,125,0,3.78094,16064,22.5907
191,127,0,3.80074,16031,22.0029
192,129,0,3.82053,16036,22.092
193,131,0,3.84033,16046,22.2701
194,133,0,3.86012,16066,22.6263
195,135,0,3.87992,16048,22.3057
196,137,0,3.89971,16096,23.1606
197,139,0,3.91951,16047,22.2879
198,141,0,3.9393,16078,22.84
199,143,0,3.9591,16073,22.751
200,145,0,3.9789,16063,22.5729
201,147,0,3.99869,16065,22.6085
202,149,0,4.01849,16049,22.3235
203,151,0,4.03828,16056,22.4482
204,153,0,4.05808,16056,22.4482
205,155,0,4.07787,16090,23.0538
206,157,0,4.09767,16043,22.2166
207,159,0,4.11746,16070,22.6975
208,161,0,4.13726,16033,22.0385
209,163,0,4.15706,16068,22.6619
210,165,0,4.17685,16051,22.3591
211,167,0,4.19665,16065,22.6085
212,169,0,4.21644,16070,22.6975
213,171,0,4.23624,16055,22.4304
214,173,0,4.25603,16063,22.5729
215,175,0,4.27583,16055,22.4304
216,177,0,4.29562,16042,22.1988
217,179,0,4.31542,16066,22.6263
218,181,0,4.33521,16084,22.9469
219,183,0,4.35501,16049,22.3235
220,185,0,4.37481,16083,22.9291
221,187,0,4.3946,16068,22.6619
222,189,0,4.4144,16060,22.5194
223,191,0,4.43419,16052,22.3769
224,193,0,4.45399,16060,22.5194
225,195,0,4.47378,16084,22.9469
226,197,0,4.49358,16053,22.3948
227,199,0,4.51337,16046,22.2701
228,201,0,4.53317,16095,23.1428
229,203,0,4.55297,16088,23.0181
230,205,0,4.57276,16057,22.466
231,207,0,4.59256,16057,22.466
232,209,0,4.61235,16060,22.5194
233,211,0,4.63215,16073,22.751
234,213,0,4.65194,16060,22.5194
235,215,0,4.67174,16052,22.3769
236,217,0,4.69153,16054,22.4126
237,219,0,4.71133,16056,22.4482
238,221,0,4.73112,16079,22.8578
239,223,0,4.75092,16062,22.5551
240,225,0,4.77072,16070,22.6975
241,227,0,4.79051,16078,22.84
242,229,0,4.81031,16060,22.5194
243,231,0,4.8301,16068,22.6619
244,233,0,4.8499,16066,22.6263
245,235,0,4.86969,16053,22.3948
246,237,0,4.88949,16066,22.6263
247,239,0,4.90928,16066,22.6263
248,241,0,4.92908,16043,22.2166
249,243,0,4.94888,16063,22.5729
250,245,0,4.96867,16050,22.3413
251,247,0,4.98847,16067,22.6441
252,249,0,5.00826,16076,22.8044
253,251,0,5.02806,16058,22.4838
254,253,0,5.04785,16078,22.84
255,255,0,5.06765,16079,22.8578
256,1,0,5.08744,16057,22.466
257,3,0,5.10724,16059,22.5016
258,5,0,5.12703,16057,22.466
259,7,0,5.14683,16064,22.5907
260,9,0,5.16663,16090,23.0538
261,11,0,5.18642,16053,22.3948
262,13,0,5.20622,16036,22.092
263,15,0,5.22601,16059,22.5016
264,17,0,5.24581,16082,22.9113
265,19,0,5.2656,16060,22.5194
266,21,0,5.2854,16048,22.3057
267,23,0,5.30519,16099,23.2141
268,25,0,5.32499,16072,22.7332
269,27,0,5.34479,16091,23.0716
270,29,0,5.36458,16074,22.7688
271,31,0,5.38438,16054,22.4126
272,33,0,5.40417,16055,22.4304
273,35,0,5.42397,16050,22.3413
274,37,0,5.44376,16064,22.5907
275,39,0,5.46356,16040,22.1632
276,41,0,5.48335,16077,22.8222
277,43,0,5.50315,16106,23.3387
278,45,0,5.52294,16073,22.751
279,47,0,5.54274,16057,22.466
280,49,0,5.56254,16071,22.7153
281,51,0,5.58233,16050,22.3413
282,53,0,5.60213,16057,22.466
283,55,0,5.62192,16036,22.092
284,57,0,5.64172,16042,22.1988
285,59,0,5.66151,16058,22.4838
286,61,0,5.68131,16077,22.8222
287,63,0,5.7011,16087,23.0003
288,65,0,5.7209,16062,22.5551
289,67,0,5.7407,16083,22.9291
290,69,0,5.76049,16070,22.6975
291,71,0,5.78029,16057,22.466
292,73,0,5.80008,16104,23.3031
293,75,0,5.81988,16077,22.8222
294,77,0,5.83967,16062,22.5551
295,79,0,5.85947,16089,23.0359
296,81,0,5.87926,16085,22.9647
297,83,0,5.89906,16083,22.9291
298,85,0,5.91885,16078,22.84
299,87,0,5.93865,16076,22.8044
300,89,0,5.95845,16074,22.7688
301,91,0,5.97824,16073,22.751
302,93,0,5.99804,16055,22.4304
303,95,0,6.01783,16090,23.0538
304,97,0,6.03763,16092,23.0894
305,99,0,6.05742,16066,22.6263
306,101,0,6.07722,16080,22.8756
307,103,0,6.09701,16080,22.8756
308,105,0,6.11681,16065,22.6085
309,107,0,6.13661,16066,22.6263
310,109,0,6.1564,16076,22.8044
311,111,0,6.1762,16028,21.9495
312,113,0,6.19599,16029,21.9673
313,115,0,6.21579,16055,22.4304
314,117,0,6.23558,16054,22.4126
315,119,0,6.25538,16086,22.9825
316,121,0,6.27517,16059,22.5016
317,123,0,6.29497,16067,22.6441
318,125,0,6.31476,16085,22.9647
319,127,0,6.33456,16085,22.9647
320,129,0,6.35436,16086,22.9825
321,131,0,6.37415,16067,22.6441
322,133,0,6.39395,16064,22.5907
323,135,0,6.41374,16061,22.5372
324,137,0,6.43354,16049,22.3235
325,139,0,6.45333,16094,23.125
326,141,0,6.47313,16082,22.9113
327,143,0,6.49292,16100,23.2319
328,145,0,6.51272,16056,22.4482
329,147,0,6.53252,16110,23.41
330,149,0,6.55231,16081,22.8935
331,151,0,6.57211,16066,22.6263
332,153,0,6.5919,16079,22.8578
333,155,0,6.6117,16088,23.0181
